month,product_id,provider_id,units_on_hand_end,units_received,stockout_days,days_of_cover,sell_through_pct
2024-09,SKU-001-001,PRV-001,680,353,0,69.9,30.0
2024-09,SKU-001-002,PRV-001,540,280,0,69.8,30.1
2024-09,SKU-001-003,PRV-001,426,256,0,60.9,33.0
2024-09,SKU-001-004,PRV-001,1023,546,5,68.5,30.5
2024-09,SKU-001-005,PRV-001,1379,707,0,68.0,30.6
2024-09,SKU-001-006,PRV-001,683,328,0,71.4,29.6
2024-09,SKU-001-007,PRV-001,442,146,0,81.3,26.9
2024-09,SKU-001-009,PRV-001,1335,566,0,82.2,26.7
2024-09,SKU-001-010,PRV-001,267,163,0,60.7,33.1
2024-09,SKU-001-011,PRV-001,569,354,0,48.9,38.0
2024-09,SKU-001-012,PRV-001,347,164,0,50.0,37.5
2024-09,SKU-001-013,PRV-001,242,135,0,64.8,31.6
2024-09,SKU-001-014,PRV-001,983,292,0,83.5,26.4
2024-09,SKU-001-015,PRV-001,1340,864,0,53.5,35.9
2024-09,SKU-001-017,PRV-001,878,634,0,52.1,36.6
2024-09,SKU-001-018,PRV-001,201,85,0,81.5,26.9
2024-09,SKU-001-019,PRV-001,593,308,0,73.2,29.1
2024-09,SKU-001-020,PRV-001,1117,486,0,67.3,30.8
2024-09,SKU-001-022,PRV-001,244,133,0,67.2,30.9
2024-09,SKU-001-024,PRV-001,947,415,0,76.0,28.3
2024-09,SKU-001-027,PRV-001,148,61,5,62.5,32.4
2024-09,SKU-001-028,PRV-001,908,502,0,59.0,33.7
2024-09,SKU-001-029,PRV-001,315,108,0,78.8,27.6
2024-09,SKU-001-031,PRV-001,324,131,0,79.0,27.5
2024-09,SKU-001-033,PRV-001,1068,466,0,55.1,35.2
2024-10,SKU-001-001,PRV-001,750,377,0,73.1,29.1
2024-10,SKU-001-002,PRV-001,378,195,0,52.5,36.4
2024-10,SKU-001-003,PRV-001,406,143,0,68.8,30.4
2024-10,SKU-001-004,PRV-001,920,470,0,53.6,35.9
2024-10,SKU-001-005,PRV-001,1126,640,0,49.2,37.9
2024-10,SKU-001-006,PRV-001,656,295,0,78.7,27.6
2024-10,SKU-001-007,PRV-001,358,178,0,66.7,31.0
2024-10,SKU-001-009,PRV-001,1189,683,0,61.7,32.7
2024-10,SKU-001-010,PRV-001,281,126,0,55.1,35.3
2024-10,SKU-001-011,PRV-001,639,387,0,59.7,33.4
2024-10,SKU-001-012,PRV-001,381,175,0,64.2,31.8
2024-10,SKU-001-013,PRV-001,243,127,0,54.0,35.7
2024-10,SKU-001-014,PRV-001,667,498,0,48.5,38.2
2024-10,SKU-001-015,PRV-001,1987,734,0,82.9,26.6
2024-10,SKU-001-017,PRV-001,1128,403,0,77.3,28.0
2024-10,SKU-001-018,PRV-001,148,64,0,60.0,33.3
2024-10,SKU-001-019,PRV-001,715,307,0,79.2,27.5
2024-10,SKU-001-020,PRV-001,737,347,0,50.8,37.1
2024-10,SKU-001-022,PRV-001,136,80,3,45.3,39.8
2024-10,SKU-001-024,PRV-001,950,343,0,77.0,28.0
2024-10,SKU-001-027,PRV-001,194,80,0,69.3,30.2
2024-10,SKU-001-028,PRV-001,1123,748,0,56.1,34.9
2024-10,SKU-001-029,PRV-001,234,104,0,69.5,30.1
2024-10,SKU-001-031,PRV-001,289,120,0,66.2,31.2
2024-10,SKU-001-033,PRV-001,1414,659,0,81.7,26.8
2024-11,SKU-001-001,PRV-001,1003,463,0,69.2,30.3
2024-11,SKU-001-002,PRV-001,357,251,0,51.5,36.8
2024-11,SKU-001-003,PRV-001,529,315,0,54.5,35.5
2024-11,SKU-001-004,PRV-001,1506,444,0,83.5,26.4
2024-11,SKU-001-005,PRV-001,1551,1043,0,48.5,38.2
2024-11,SKU-001-006,PRV-001,996,354,0,80.8,27.1
2024-11,SKU-001-007,PRV-001,574,313,0,70.6,29.8
2024-11,SKU-001-009,PRV-001,1807,654,0,74.1,28.8
2024-11,SKU-001-010,PRV-001,283,142,9,70.2,30.0
2024-11,SKU-001-011,PRV-001,1220,523,0,81.0,27.0
2024-11,SKU-001-012,PRV-001,595,204,0,69.5,30.2
2024-11,SKU-001-013,PRV-001,424,195,0,70.3,29.9
2024-11,SKU-001-014,PRV-001,1106,322,0,78.1,27.8
2024-11,SKU-001-015,PRV-001,1711,1081,0,57.2,34.4
2024-11,SKU-001-017,PRV-001,1223,421,0,74.1,28.8
2024-11,SKU-001-018,PRV-001,245,159,0,59.3,33.6
2024-11,SKU-001-019,PRV-001,823,303,0,76.2,28.2
2024-11,SKU-001-020,PRV-001,1169,461,0,80.1,27.3
2024-11,SKU-001-022,PRV-001,137,70,16,64.2,31.8
2024-11,SKU-001-023,PRV-001,314,168,0,58.5,33.9
2024-11,SKU-001-024,PRV-001,1229,683,0,61.6,32.8
2024-11,SKU-001-027,PRV-001,245,108,0,62.3,32.5
2024-11,SKU-001-028,PRV-001,946,835,0,43.5,40.8
2024-11,SKU-001-029,PRV-001,228,132,0,65.1,31.5
2024-11,SKU-001-031,PRV-001,349,160,0,65.8,31.3
2024-11,SKU-001-033,PRV-001,2458,731,0,82.6,26.6
2024-12,SKU-001-001,PRV-001,515,337,0,46.4,39.3
2024-12,SKU-001-002,PRV-001,285,180,0,46.7,39.1
2024-12,SKU-001-003,PRV-001,511,228,0,81.5,26.9
2024-12,SKU-001-004,PRV-001,1264,486,3,80.7,27.1
2024-12,SKU-001-005,PRV-001,1241,421,7,69.8,30.0
2024-12,SKU-001-006,PRV-001,570,342,0,56.8,34.6
2024-12,SKU-001-007,PRV-001,247,205,0,44.9,40.0
2024-12,SKU-001-009,PRV-001,1299,637,0,62.9,32.3
2024-12,SKU-001-010,PRV-001,338,245,0,52.8,36.2
2024-12,SKU-001-011,PRV-001,635,398,0,54.4,35.5
2024-12,SKU-001-012,PRV-001,527,182,0,79.8,27.3
2024-12,SKU-001-013,PRV-001,248,115,0,53.1,36.1
2024-12,SKU-001-014,PRV-001,945,434,0,70.2,29.9
2024-12,SKU-001-015,PRV-001,866,646,0,44.6,40.2
2024-12,SKU-001-017,PRV-001,866,489,0,46.3,39.3
2024-12,SKU-001-018,PRV-001,208,106,0,70.9,29.7
2024-12,SKU-001-019,PRV-001,700,256,0,69.5,30.1
2024-12,SKU-001-020,PRV-001,1249,624,0,73.5,29.0
2024-12,SKU-001-022,PRV-001,195,111,0,66.5,31.1
2024-12,SKU-001-023,PRV-001,230,189,0,46.3,39.3
2024-12,SKU-001-024,PRV-001,1182,454,0,75.9,28.3
2024-12,SKU-001-027,PRV-001,146,73,0,48.7,38.1
2024-12,SKU-001-028,PRV-001,1244,508,0,68.0,30.6
2024-12,SKU-001-029,PRV-001,142,83,0,45.8,39.6
2024-12,SKU-001-031,PRV-001,312,117,0,66.4,31.1
2024-12,SKU-001-033,PRV-001,1166,819,0,47.9,38.5
2025-01,SKU-001-001,PRV-001,779,400,0,50.8,37.1
2025-01,SKU-001-002,PRV-001,273,141,21,73.1,29.1
2025-01,SKU-001-003,PRV-001,627,199,0,76.8,28.1
2025-01,SKU-001-004,PRV-001,1394,566,0,76.2,28.3
2025-01,SKU-001-005,PRV-001,1877,966,0,75.1,28.5
2025-01,SKU-001-006,PRV-001,772,400,0,57.8,34.2
2025-01,SKU-001-007,PRV-001,591,321,0,69.3,30.2
2025-01,SKU-001-008,PRV-001,491,242,0,45.9,39.5
2025-01,SKU-001-009,PRV-001,2032,714,0,78.7,27.6
2025-01,SKU-001-010,PRV-001,409,178,0,56.5,34.7
2025-01,SKU-001-011,PRV-001,1200,599,0,76.3,28.2
2025-01,SKU-001-012,PRV-001,511,249,0,54.9,35.3
2025-01,SKU-001-013,PRV-001,484,240,0,78.1,27.8
2025-01,SKU-001-014,PRV-001,986,588,0,64.2,31.9
2025-01,SKU-001-015,PRV-001,1402,1128,0,47.0,39.0
2025-01,SKU-001-017,PRV-001,790,430,0,44.2,40.4
2025-01,SKU-001-018,PRV-001,352,175,0,77.1,28.0
2025-01,SKU-001-019,PRV-001,653,333,0,55.7,35.0
2025-01,SKU-001-020,PRV-001,1133,538,0,78.5,27.7
2025-01,SKU-001-022,PRV-001,211,106,0,45.5,39.7
2025-01,SKU-001-023,PRV-001,443,264,0,47.0,39.0
2025-01,SKU-001-024,PRV-001,1487,489,0,75.5,28.4
2025-01,SKU-001-027,PRV-001,214,144,0,54.4,35.5
2025-01,SKU-001-028,PRV-001,863,584,0,45.5,39.7
2025-01,SKU-001-029,PRV-001,417,116,0,82.3,26.7
2025-01,SKU-001-031,PRV-001,412,170,0,74.9,28.6
2025-01,SKU-001-033,PRV-001,1707,634,0,66.2,31.2
2025-02,SKU-001-001,PRV-001,721,405,0,54.8,35.4
2025-02,SKU-001-002,PRV-001,447,237,0,70.2,29.9
2025-02,SKU-001-003,PRV-001,431,206,0,58.2,34.0
