product_id,provider_id,provider_name,product_name,product_line,item_type,category,gender,color,size_range,list_price_eur,commission_pct,discontinued_month
SKU-001-001,PRV-001,adidas,Terrex Tee,Terrex,Tee,Sportswear,Women,Stone,One Size,132.95,0.19,
SKU-001-002,PRV-001,adidas,Ultraboost Tee,Ultraboost,Tee,Sportswear,Men,Rust,34-46,51.95,0.19,
SKU-001-003,PRV-001,adidas,Adicolor Tee,Adicolor,Tee,Sportswear,Men,Forest,34-46,36.95,0.19,
SKU-001-004,PRV-001,adidas,Tiro Tee,Tiro,Tee,Sportswear,Women,Ecru,XS-XL,97.95,0.19,
SKU-001-005,PRV-001,adidas,Z.N.E. Tee,Z.N.E.,Tee,Sportswear,Men,Terracotta,36-44,35.95,0.19,
SKU-001-006,PRV-001,adidas,Own the Run Tee,Own the Run,Tee,Sportswear,Men,Black,36-44,33.95,0.19,
SKU-001-007,PRV-001,adidas,Terrex Hoodie,Terrex,Hoodie,Sportswear,Unisex,Charcoal,One Size,85.95,0.19,
SKU-001-008,PRV-001,adidas,Ultraboost Hoodie,Ultraboost,Hoodie,Sportswear,Men,Olive,26-36,48.95,0.19,
SKU-001-009,PRV-001,adidas,Adicolor Hoodie,Adicolor,Hoodie,Sportswear,Men,Off White,XS-XL,36.95,0.19,
SKU-001-010,PRV-001,adidas,Tiro Hoodie,Tiro,Hoodie,Sportswear,Unisex,Terracotta,S-XL,39.95,0.19,
SKU-001-011,PRV-001,adidas,Z.N.E. Hoodie,Z.N.E.,Hoodie,Sportswear,Unisex,Terracotta,XS-XXL,175.95,0.19,
SKU-001-012,PRV-001,adidas,Own the Run Hoodie,Own the Run,Hoodie,Sportswear,Unisex,Ecru,S-XL,43.95,0.19,
SKU-001-013,PRV-001,adidas,Terrex Track Pant,Terrex,Track Pant,Sportswear,Men,Forest,XS-XL,175.95,0.19,
SKU-001-014,PRV-001,adidas,Ultraboost Track Pant,Ultraboost,Track Pant,Sportswear,Unisex,Rust,One Size,50.95,0.19,
SKU-001-015,PRV-001,adidas,Adicolor Track Pant,Adicolor,Track Pant,Sportswear,Men,Burgundy,S-XL,81.95,0.19,
SKU-001-016,PRV-001,adidas,Tiro Track Pant,Tiro,Track Pant,Sportswear,Unisex,Olive,26-36,46.95,0.19,
SKU-001-017,PRV-001,adidas,Z.N.E. Track Pant,Z.N.E.,Track Pant,Sportswear,Men,Burgundy,S-XL,152.95,0.19,
SKU-001-018,PRV-001,adidas,Own the Run Track Pant,Own the Run,Track Pant,Sportswear,Men,Rust,XS-XXL,136.95,0.19,
SKU-001-019,PRV-001,adidas,Terrex Windbreaker,Terrex,Windbreaker,Sportswear,Unisex,Ecru,XS-XL,91.95,0.19,
SKU-001-020,PRV-001,adidas,Ultraboost Windbreaker,Ultraboost,Windbreaker,Sportswear,Women,Ecru,34-46,36.95,0.19,
SKU-001-021,PRV-001,adidas,Adicolor Windbreaker,Adicolor,Windbreaker,Sportswear,Women,Slate Blue,34-46,61.95,0.19,
SKU-001-022,PRV-001,adidas,Tiro Windbreaker,Tiro,Windbreaker,Sportswear,Unisex,Navy,36-44,122.95,0.19,
SKU-001-023,PRV-001,adidas,Z.N.E. Windbreaker,Z.N.E.,Windbreaker,Sportswear,Men,Sand,S-XL,93.95,0.19,
SKU-001-024,PRV-001,adidas,Own the Run Windbreaker,Own the Run,Windbreaker,Sportswear,Women,Navy,S-XL,49.95,0.19,
SKU-001-025,PRV-001,adidas,Terrex Sneaker,Terrex,Sneaker,Sportswear,Men,Stone,XS-XXL,153.95,0.19,
SKU-001-026,PRV-001,adidas,Ultraboost Sneaker,Ultraboost,Sneaker,Sportswear,Men,Olive,One Size,87.95,0.19,
SKU-001-027,PRV-001,adidas,Adicolor Sneaker,Adicolor,Sneaker,Sportswear,Men,Ecru,XS-XL,140.95,0.19,
