month,provider_id,provider_name,shipments_expected,shipments_on_time,shipments_late,otif_pct,avg_delay_days,asn_error_count,quality_reject_pct
2024-09,PRV-001,adidas,30,29,1,96.7,0.2,1,0.0
2024-10,PRV-001,adidas,31,30,1,96.8,1.4,1,0.81
2024-11,PRV-001,adidas,34,33,1,97.1,0.3,1,0.17
2024-12,PRV-001,adidas,37,36,1,97.3,2.0,0,0.0
2025-01,PRV-001,adidas,42,40,2,95.2,1.5,0,0.41
2025-02,PRV-001,adidas,33,33,0,100.0,0.0,0,0.27
2025-03,PRV-001,adidas,33,32,1,97.0,0.3,1,0.2
2025-04,PRV-001,adidas,26,25,1,96.2,1.8,2,0.66
2025-05,PRV-001,adidas,28,27,1,96.4,2.4,0,0.94
2025-06,PRV-001,adidas,26,26,0,100.0,0.0,0,0.56
2025-07,PRV-001,adidas,27,27,0,100.0,0.0,1,0.02
2025-08,PRV-001,adidas,26,25,1,96.2,2.4,0,0.37
2025-09,PRV-001,adidas,30,30,0,100.0,0.0,0,0.27
2025-10,PRV-001,adidas,32,31,1,96.9,1.3,0,0.5
2025-11,PRV-001,adidas,34,32,2,94.1,1.7,3,0.34
2025-12,PRV-001,adidas,34,32,2,94.1,3.8,0,0.05
2026-01,PRV-001,adidas,40,39,1,97.5,0.7,1,0.18
2026-02,PRV-001,adidas,34,33,1,97.1,0.9,0,0.46
2026-03,PRV-001,adidas,35,34,1,97.1,0.4,1,0.12
2026-04,PRV-001,adidas,30,29,1,96.7,0.6,0,0.61
2026-05,PRV-001,adidas,30,30,0,100.0,0.0,1,0.97
2026-06,PRV-001,adidas,29,29,0,100.0,0.0,1,0.29
2026-07,PRV-001,adidas,28,27,1,96.4,1.4,0,0.74
2026-08,PRV-001,adidas,23,23,0,100.0,0.0,1,0.19
2024-09,PRV-002,Ombra Fashion,31,25,6,80.6,2.1,1,3.08
2024-10,PRV-002,Ombra Fashion,33,29,4,87.9,1.5,1,3.57
2024-11,PRV-002,Ombra Fashion,39,36,3,92.3,2.9,0,3.16
2024-12,PRV-002,Ombra Fashion,39,33,6,84.6,3.2,2,3.15
2025-01,PRV-002,Ombra Fashion,34,30,4,88.2,3.3,0,3.24
2025-02,PRV-002,Ombra Fashion,29,26,3,89.7,4.6,1,2.64
2025-03,PRV-002,Ombra Fashion,36,32,4,88.9,2.9,1,3.62
2025-04,PRV-002,Ombra Fashion,34,29,5,85.3,2.4,2,3.71
2025-05,PRV-002,Ombra Fashion,34,30,4,88.2,2.2,2,2.77
2025-06,PRV-002,Ombra Fashion,34,29,5,85.3,2.5,1,3.5
2025-07,PRV-002,Ombra Fashion,36,33,3,91.7,3.0,2,2.53
2025-08,PRV-002,Ombra Fashion,33,30,3,90.9,1.1,1,3.08
2025-09,PRV-002,Ombra Fashion,32,28,4,87.5,1.8,1,2.98
2025-10,PRV-002,Ombra Fashion,34,28,6,82.4,3.6,2,2.51
2025-11,PRV-002,Ombra Fashion,39,34,5,87.2,3.5,2,2.69
2025-12,PRV-002,Ombra Fashion,41,36,5,87.8,2.8,2,2.43
2026-01,PRV-002,Ombra Fashion,34,29,5,85.3,3.9,2,2.9
2026-02,PRV-002,Ombra Fashion,33,29,4,87.9,0.4,2,3.02
2026-03,PRV-002,Ombra Fashion,34,29,5,85.3,4.4,1,3.24
2026-04,PRV-002,Ombra Fashion,35,29,6,82.9,2.0,2,2.63
2026-05,PRV-002,Ombra Fashion,37,32,5,86.5,2.6,2,2.94
2026-06,PRV-002,Ombra Fashion,32,27,5,84.4,3.4,0,3.84
2026-07,PRV-002,Ombra Fashion,29,25,4,86.2,2.0,1,2.96
2026-08,PRV-002,Ombra Fashion,35,28,7,80.0,3.3,1,4.1
2024-09,PRV-003,Nordvik Studio,18,18,0,100.0,0.0,1,1.06
2024-10,PRV-003,Nordvik Studio,22,20,2,90.9,2.0,1,0.37
2024-11,PRV-003,Nordvik Studio,24,22,2,91.7,1.2,0,0.44
2024-12,PRV-003,Nordvik Studio,28,27,1,96.4,2.9,0,1.1
2025-01,PRV-003,Nordvik Studio,21,20,1,95.2,3.9,0,1.43
2025-02,PRV-003,Nordvik Studio,16,15,1,93.8,2.6,1,1.18
2025-03,PRV-003,Nordvik Studio,18,17,1,94.4,3.7,0,0.14
2025-04,PRV-003,Nordvik Studio,24,24,0,100.0,0.0,1,0.99
2025-05,PRV-003,Nordvik Studio,20,19,1,95.0,3.6,0,0.71
2025-06,PRV-003,Nordvik Studio,19,18,1,94.7,3.5,1,1.02
2025-07,PRV-003,Nordvik Studio,20,20,0,100.0,0.0,0,0.47
2025-08,PRV-003,Nordvik Studio,20,19,1,95.0,2.3,1,0.34
2025-09,PRV-003,Nordvik Studio,21,20,1,95.2,1.5,0,0.49
2025-10,PRV-003,Nordvik Studio,24,22,2,91.7,2.8,1,0.38
2025-11,PRV-003,Nordvik Studio,26,24,2,92.3,2.3,0,0.38
2025-12,PRV-003,Nordvik Studio,25,24,1,96.0,3.0,2,0.54
2026-01,PRV-003,Nordvik Studio,21,20,1,95.2,2.4,2,0.79
2026-02,PRV-003,Nordvik Studio,20,19,1,95.0,1.7,1,1.19
2026-03,PRV-003,Nordvik Studio,23,22,1,95.7,0.6,0,0.81
2026-04,PRV-003,Nordvik Studio,22,21,1,95.5,2.9,2,0.55
2026-05,PRV-003,Nordvik Studio,24,23,1,95.8,3.5,2,0.41
2026-06,PRV-003,Nordvik Studio,17,16,1,94.1,3.7,1,0.85
2026-07,PRV-003,Nordvik Studio,21,20,1,95.2,2.8,1,1.09
2026-08,PRV-003,Nordvik Studio,22,21,1,95.5,1.0,0,0.32
2024-09,PRV-004,Maison Rive,11,10,1,90.9,0.7,0,0.19
