month,provider_id,product_line,reason_code,units
2024-09,PRV-001,Adicolor,CHANGED_MIND,137
2024-09,PRV-001,Adicolor,DAMAGED_IN_TRANSIT,7
2024-09,PRV-001,Adicolor,NOT_AS_PICTURED,15
2024-09,PRV-001,Adicolor,QUALITY_ISSUE,10
2024-09,PRV-001,Adicolor,SIZE_TOO_LARGE,31
2024-09,PRV-001,Adicolor,SIZE_TOO_SMALL,37
2024-09,PRV-001,Own the Run,CHANGED_MIND,67
2024-09,PRV-001,Own the Run,DAMAGED_IN_TRANSIT,4
2024-09,PRV-001,Own the Run,NOT_AS_PICTURED,6
2024-09,PRV-001,Own the Run,QUALITY_ISSUE,5
2024-09,PRV-001,Own the Run,SIZE_TOO_LARGE,15
2024-09,PRV-001,Own the Run,SIZE_TOO_SMALL,18
2024-09,PRV-001,Terrex,CHANGED_MIND,68
2024-09,PRV-001,Terrex,DAMAGED_IN_TRANSIT,1
2024-09,PRV-001,Terrex,NOT_AS_PICTURED,7
2024-09,PRV-001,Terrex,QUALITY_ISSUE,7
2024-09,PRV-001,Terrex,SIZE_TOO_LARGE,15
2024-09,PRV-001,Terrex,SIZE_TOO_SMALL,18
2024-09,PRV-001,Tiro,CHANGED_MIND,74
2024-09,PRV-001,Tiro,DAMAGED_IN_TRANSIT,2
2024-09,PRV-001,Tiro,NOT_AS_PICTURED,8
2024-09,PRV-001,Tiro,QUALITY_ISSUE,7
2024-09,PRV-001,Tiro,SIZE_TOO_LARGE,17
2024-09,PRV-001,Tiro,SIZE_TOO_SMALL,21
2024-09,PRV-001,Ultraboost,CHANGED_MIND,82
2024-09,PRV-001,Ultraboost,DAMAGED_IN_TRANSIT,2
2024-09,PRV-001,Ultraboost,NOT_AS_PICTURED,9
2024-09,PRV-001,Ultraboost,QUALITY_ISSUE,7
2024-09,PRV-001,Ultraboost,SIZE_TOO_LARGE,18
2024-09,PRV-001,Ultraboost,SIZE_TOO_SMALL,23
2024-09,PRV-001,Z.N.E.,CHANGED_MIND,120
2024-09,PRV-001,Z.N.E.,DAMAGED_IN_TRANSIT,4
2024-09,PRV-001,Z.N.E.,NOT_AS_PICTURED,12
2024-09,PRV-001,Z.N.E.,QUALITY_ISSUE,10
2024-09,PRV-001,Z.N.E.,SIZE_TOO_LARGE,27
2024-09,PRV-001,Z.N.E.,SIZE_TOO_SMALL,33
2024-09,PRV-002,Basico,CHANGED_MIND,94
2024-09,PRV-002,Basico,DAMAGED_IN_TRANSIT,19
2024-09,PRV-002,Basico,NOT_AS_PICTURED,90
2024-09,PRV-002,Basico,QUALITY_ISSUE,99
2024-09,PRV-002,Basico,SIZE_TOO_LARGE,42
2024-09,PRV-002,Basico,SIZE_TOO_SMALL,113
2024-09,PRV-002,Basico,WRONG_ITEM_SENT,13
2024-09,PRV-002,Neroluce,CHANGED_MIND,84
2024-09,PRV-002,Neroluce,DAMAGED_IN_TRANSIT,17
2024-09,PRV-002,Neroluce,NOT_AS_PICTURED,80
2024-09,PRV-002,Neroluce,QUALITY_ISSUE,89
2024-09,PRV-002,Neroluce,SIZE_TOO_LARGE,38
2024-09,PRV-002,Neroluce,SIZE_TOO_SMALL,101
2024-09,PRV-002,Neroluce,WRONG_ITEM_SENT,13
2024-09,PRV-002,Notte,CHANGED_MIND,148
2024-09,PRV-002,Notte,DAMAGED_IN_TRANSIT,29
2024-09,PRV-002,Notte,NOT_AS_PICTURED,141
2024-09,PRV-002,Notte,QUALITY_ISSUE,156
2024-09,PRV-002,Notte,SIZE_TOO_LARGE,66
2024-09,PRV-002,Notte,SIZE_TOO_SMALL,178
2024-09,PRV-002,Notte,WRONG_ITEM_SENT,20
2024-09,PRV-002,Sabbia,CHANGED_MIND,194
2024-09,PRV-002,Sabbia,DAMAGED_IN_TRANSIT,40
2024-09,PRV-002,Sabbia,NOT_AS_PICTURED,184
2024-09,PRV-002,Sabbia,QUALITY_ISSUE,205
2024-09,PRV-002,Sabbia,SIZE_TOO_LARGE,86
2024-09,PRV-002,Sabbia,SIZE_TOO_SMALL,232
2024-09,PRV-002,Sabbia,WRONG_ITEM_SENT,33
2024-09,PRV-002,Vetro,CHANGED_MIND,108
2024-09,PRV-002,Vetro,DAMAGED_IN_TRANSIT,21
2024-09,PRV-002,Vetro,NOT_AS_PICTURED,102
2024-09,PRV-002,Vetro,QUALITY_ISSUE,188
2024-09,PRV-002,Vetro,SIZE_TOO_LARGE,48
2024-09,PRV-002,Vetro,SIZE_TOO_SMALL,129
2024-09,PRV-002,Vetro,WRONG_ITEM_SENT,16
2024-09,PRV-003,Fjell,CHANGED_MIND,87
2024-09,PRV-003,Fjell,DAMAGED_IN_TRANSIT,4
2024-09,PRV-003,Fjell,NOT_AS_PICTURED,14
2024-09,PRV-003,Fjell,QUALITY_ISSUE,10
2024-09,PRV-003,Fjell,SIZE_TOO_LARGE,28
2024-09,PRV-003,Fjell,SIZE_TOO_SMALL,23
2024-09,PRV-003,Havn,CHANGED_MIND,61
2024-09,PRV-003,Havn,DAMAGED_IN_TRANSIT,4
2024-09,PRV-003,Havn,NOT_AS_PICTURED,9
2024-09,PRV-003,Havn,QUALITY_ISSUE,7
2024-09,PRV-003,Havn,SIZE_TOO_LARGE,19
2024-09,PRV-003,Havn,SIZE_TOO_SMALL,16
2024-09,PRV-003,Linje,CHANGED_MIND,103
2024-09,PRV-003,Linje,DAMAGED_IN_TRANSIT,4
2024-09,PRV-003,Linje,NOT_AS_PICTURED,16
2024-09,PRV-003,Linje,QUALITY_ISSUE,12
2024-09,PRV-003,Linje,SIZE_TOO_LARGE,34
2024-09,PRV-003,Linje,SIZE_TOO_SMALL,28
2024-09,PRV-003,Sten,CHANGED_MIND,60
2024-09,PRV-003,Sten,DAMAGED_IN_TRANSIT,2
2024-09,PRV-003,Sten,NOT_AS_PICTURED,10
2024-09,PRV-003,Sten,QUALITY_ISSUE,7
2024-09,PRV-003,Sten,SIZE_TOO_LARGE,18
2024-09,PRV-003,Sten,SIZE_TOO_SMALL,16
2024-09,PRV-004,Atelier,CHANGED_MIND,5
2024-09,PRV-004,Atelier,DAMAGED_IN_TRANSIT,3
2024-09,PRV-004,Rive Gauche,CHANGED_MIND,18
2024-09,PRV-004,Rive Gauche,DAMAGED_IN_TRANSIT,6
2024-09,PRV-004,Rive Gauche,NOT_AS_PICTURED,3
2024-09,PRV-004,Rive Gauche,SIZE_TOO_LARGE,4
2024-09,PRV-004,Rive Gauche,SIZE_TOO_SMALL,4
2024-09,PRV-004,Sainte-Claire,CHANGED_MIND,4
2024-09,PRV-004,Sainte-Claire,DAMAGED_IN_TRANSIT,1
2024-09,PRV-004,Sainte-Claire,NOT_AS_PICTURED,1
2024-09,PRV-004,Sainte-Claire,SIZE_TOO_LARGE,1
2024-09,PRV-004,Sainte-Claire,SIZE_TOO_SMALL,1
2024-09,PRV-005,Everyday,CHANGED_MIND,80
2024-09,PRV-005,Everyday,DAMAGED_IN_TRANSIT,6
