month,product_id,provider_id,review_count,avg_rating
2024-09,SKU-001-001,PRV-001,11,4.4
2024-09,SKU-001-002,PRV-001,8,4.37
2024-09,SKU-001-003,PRV-001,6,4.44
2024-09,SKU-001-004,PRV-001,20,4.46
2024-09,SKU-001-005,PRV-001,34,4.49
2024-09,SKU-001-006,PRV-001,13,4.42
2024-09,SKU-001-007,PRV-001,8,4.48
2024-09,SKU-001-009,PRV-001,12,4.4
2024-09,SKU-001-010,PRV-001,8,4.34
2024-09,SKU-001-011,PRV-001,11,4.55
2024-09,SKU-001-012,PRV-001,13,4.41
2024-09,SKU-001-013,PRV-001,3,4.4
2024-09,SKU-001-014,PRV-001,16,4.48
2024-09,SKU-001-015,PRV-001,30,4.54
2024-09,SKU-001-017,PRV-001,26,4.5
2024-09,SKU-001-018,PRV-001,3,4.27
2024-09,SKU-001-019,PRV-001,11,4.44
2024-09,SKU-001-020,PRV-001,22,4.61
2024-09,SKU-001-022,PRV-001,4,4.36
2024-09,SKU-001-024,PRV-001,16,4.58
2024-09,SKU-001-027,PRV-001,4,4.43
2024-09,SKU-001-028,PRV-001,29,4.49
2024-09,SKU-001-029,PRV-001,8,4.35
2024-09,SKU-001-031,PRV-001,4,4.37
2024-09,SKU-001-033,PRV-001,21,4.45
2024-10,SKU-001-001,PRV-001,8,4.42
2024-10,SKU-001-002,PRV-001,13,4.52
2024-10,SKU-001-003,PRV-001,10,4.56
2024-10,SKU-001-004,PRV-001,24,4.44
2024-10,SKU-001-005,PRV-001,46,4.5
2024-10,SKU-001-006,PRV-001,15,4.36
2024-10,SKU-001-007,PRV-001,8,4.41
2024-10,SKU-001-009,PRV-001,22,4.45
2024-10,SKU-001-010,PRV-001,7,4.49
2024-10,SKU-001-011,PRV-001,16,4.47
2024-10,SKU-001-012,PRV-001,10,4.45
2024-10,SKU-001-013,PRV-001,8,4.49
2024-10,SKU-001-014,PRV-001,24,4.44
2024-10,SKU-001-015,PRV-001,35,4.38
2024-10,SKU-001-017,PRV-001,16,4.54
2024-10,SKU-001-018,PRV-001,3,4.41
2024-10,SKU-001-019,PRV-001,11,4.55
2024-10,SKU-001-020,PRV-001,27,4.41
2024-10,SKU-001-022,PRV-001,3,4.69
2024-10,SKU-001-024,PRV-001,17,4.44
2024-10,SKU-001-027,PRV-001,3,4.44
2024-10,SKU-001-028,PRV-001,19,4.36
2024-10,SKU-001-029,PRV-001,3,4.61
2024-10,SKU-001-031,PRV-001,9,4.28
2024-10,SKU-001-033,PRV-001,20,4.53
2024-11,SKU-001-001,PRV-001,17,4.59
2024-11,SKU-001-002,PRV-001,9,4.41
2024-11,SKU-001-003,PRV-001,18,4.38
2024-11,SKU-001-004,PRV-001,18,4.42
2024-11,SKU-001-005,PRV-001,43,4.38
2024-11,SKU-001-006,PRV-001,22,4.47
2024-11,SKU-001-007,PRV-001,16,4.42
2024-11,SKU-001-009,PRV-001,18,4.43
2024-11,SKU-001-010,PRV-001,7,4.54
2024-11,SKU-001-011,PRV-001,29,4.27
2024-11,SKU-001-012,PRV-001,13,4.21
2024-11,SKU-001-013,PRV-001,10,4.58
2024-11,SKU-001-014,PRV-001,25,4.42
2024-11,SKU-001-015,PRV-001,36,4.44
2024-11,SKU-001-017,PRV-001,19,4.45
2024-11,SKU-001-018,PRV-001,4,4.42
2024-11,SKU-001-019,PRV-001,19,4.42
2024-11,SKU-001-020,PRV-001,16,4.38
2024-11,SKU-001-022,PRV-001,2,4.51
2024-11,SKU-001-023,PRV-001,9,4.48
2024-11,SKU-001-024,PRV-001,36,4.42
2024-11,SKU-001-027,PRV-001,6,4.48
2024-11,SKU-001-028,PRV-001,42,4.39
2024-11,SKU-001-029,PRV-001,5,4.61
2024-11,SKU-001-031,PRV-001,4,4.39
2024-11,SKU-001-033,PRV-001,42,4.37
2024-12,SKU-001-001,PRV-001,9,4.45
2024-12,SKU-001-002,PRV-001,11,4.37
2024-12,SKU-001-003,PRV-001,11,4.6
2024-12,SKU-001-004,PRV-001,19,4.53
2024-12,SKU-001-005,PRV-001,22,4.49
2024-12,SKU-001-006,PRV-001,18,4.43
2024-12,SKU-001-007,PRV-001,5,4.54
2024-12,SKU-001-009,PRV-001,22,4.55
2024-12,SKU-001-010,PRV-001,6,4.47
2024-12,SKU-001-011,PRV-001,9,4.42
2024-12,SKU-001-012,PRV-001,5,4.38
2024-12,SKU-001-013,PRV-001,5,4.59
2024-12,SKU-001-014,PRV-001,21,4.57
2024-12,SKU-001-015,PRV-001,21,4.58
2024-12,SKU-001-017,PRV-001,20,4.36
2024-12,SKU-001-018,PRV-001,5,4.45
2024-12,SKU-001-019,PRV-001,19,4.53
2024-12,SKU-001-020,PRV-001,27,4.64
2024-12,SKU-001-022,PRV-001,4,4.38
2024-12,SKU-001-023,PRV-001,7,4.46
2024-12,SKU-001-024,PRV-001,23,4.48
2024-12,SKU-001-027,PRV-001,4,4.36
2024-12,SKU-001-028,PRV-001,19,4.57
2024-12,SKU-001-029,PRV-001,3,4.6
2024-12,SKU-001-031,PRV-001,7,4.46
2024-12,SKU-001-033,PRV-001,41,4.39
2025-01,SKU-001-001,PRV-001,31,4.36
2025-01,SKU-001-002,PRV-001,4,4.5
2025-01,SKU-001-003,PRV-001,5,4.54
2025-01,SKU-001-004,PRV-001,26,4.53
2025-01,SKU-001-005,PRV-001,48,4.49
2025-01,SKU-001-006,PRV-001,21,4.52
2025-01,SKU-001-007,PRV-001,11,4.52
2025-01,SKU-001-008,PRV-001,19,4.46
2025-01,SKU-001-009,PRV-001,53,4.27
2025-01,SKU-001-010,PRV-001,8,4.46
2025-01,SKU-001-011,PRV-001,20,4.43
2025-01,SKU-001-012,PRV-001,16,4.55
2025-01,SKU-001-013,PRV-001,5,4.53
2025-01,SKU-001-014,PRV-001,11,4.33
2025-01,SKU-001-015,PRV-001,27,4.67
2025-01,SKU-001-017,PRV-001,35,4.47
2025-01,SKU-001-018,PRV-001,7,4.42
2025-01,SKU-001-019,PRV-001,8,4.44
2025-01,SKU-001-020,PRV-001,17,4.48
2025-01,SKU-001-022,PRV-001,4,4.39
2025-01,SKU-001-023,PRV-001,18,4.53
2025-01,SKU-001-024,PRV-001,40,4.4
2025-01,SKU-001-027,PRV-001,6,4.41
2025-01,SKU-001-028,PRV-001,30,4.42
2025-01,SKU-001-029,PRV-001,5,4.33
2025-01,SKU-001-031,PRV-001,9,4.55
2025-01,SKU-001-033,PRV-001,31,4.32
2025-02,SKU-001-001,PRV-001,25,4.59
2025-02,SKU-001-002,PRV-001,9,4.35
2025-02,SKU-001-003,PRV-001,13,4.46
2025-02,SKU-001-004,PRV-001,14,4.49
2025-02,SKU-001-005,PRV-001,34,4.57
