month,product_id,provider_id,units_sold,units_returned,orders,gross_revenue_eur,discount_eur,net_revenue_eur,page_views,add_to_cart
2024-09,SKU-001-001,PRV-001,292,41,292,38821.4,2458.99,36362.41,10563,745
2024-09,SKU-001-002,PRV-001,232,31,232,12052.4,805.75,11246.65,5852,685
2024-09,SKU-001-003,PRV-001,210,27,210,7759.5,475.53,7283.97,7819,660
2024-09,SKU-001-004,PRV-001,448,57,448,43881.6,2510.21,41371.39,11061,1435
2024-09,SKU-001-005,PRV-001,608,82,608,21857.6,1374.52,20483.08,25211,2485
2024-09,SKU-001-006,PRV-001,287,39,287,9743.65,498.53,9245.12,13085,951
2024-09,SKU-001-007,PRV-001,163,15,163,14009.85,933.46,13076.39,8305,968
2024-09,SKU-001-009,PRV-001,487,49,487,17994.65,1063.11,16931.54,15915,1302
2024-09,SKU-001-010,PRV-001,132,16,132,5273.4,278.54,4994.86,7329,822
2024-09,SKU-001-011,PRV-001,349,41,349,61406.55,3507.56,57898.99,14051,1744
2024-09,SKU-001-012,PRV-001,208,28,208,9141.6,483.76,8657.84,11894,1240
2024-09,SKU-001-013,PRV-001,112,15,112,19706.4,1238.12,18468.28,3029,306
2024-09,SKU-001-014,PRV-001,353,47,353,17985.35,1061.86,16923.49,18280,1143
2024-09,SKU-001-015,PRV-001,752,84,752,61626.4,3762.02,57864.38,29975,3992
2024-09,SKU-001-017,PRV-001,506,69,506,77392.7,4534.18,72858.52,19598,1813
2024-09,SKU-001-018,PRV-001,74,7,74,10134.3,688.06,9446.24,2801,297
2024-09,SKU-001-019,PRV-001,243,30,243,22343.85,1368.26,20975.59,12216,1016
2024-09,SKU-001-020,PRV-001,498,63,498,18401.1,1184.48,17216.62,11658,1172
2024-09,SKU-001-022,PRV-001,109,13,109,13401.55,813.0,12588.55,3404,258
2024-09,SKU-001-024,PRV-001,374,41,374,18681.3,1183.23,17498.07,13020,736
2024-09,SKU-001-027,PRV-001,71,9,71,10007.45,602.33,9405.12,4075,327
2024-09,SKU-001-028,PRV-001,462,43,462,28158.9,1704.06,26454.84,21701,2191
2024-09,SKU-001-029,PRV-001,120,14,120,5634.0,324.38,5309.62,3117,349
2024-09,SKU-001-031,PRV-001,123,15,123,9464.85,630.64,8834.21,5277,555
2024-09,SKU-001-033,PRV-001,581,68,581,102226.95,5881.36,96345.59,29548,3076
2024-10,SKU-001-001,PRV-001,308,36,308,40948.6,2187.18,38761.42,17401,1051
2024-10,SKU-001-002,PRV-001,216,31,216,11221.2,701.16,10520.04,9718,1003
2024-10,SKU-001-003,PRV-001,177,23,177,6540.15,435.47,6104.68,8132,1015
2024-10,SKU-001-004,PRV-001,515,63,515,50444.25,2853.15,47591.1,21924,1951
2024-10,SKU-001-005,PRV-001,686,104,686,24661.7,1270.03,23391.67,29937,3428
2024-10,SKU-001-006,PRV-001,250,25,250,8487.5,460.46,8027.04,9599,1154
2024-10,SKU-001-007,PRV-001,161,13,161,13837.95,814.17,13023.78,8754,570
2024-10,SKU-001-009,PRV-001,578,62,578,21357.1,1374.63,19982.47,18830,2365
2024-10,SKU-001-010,PRV-001,153,18,153,6112.35,361.57,5750.78,8052,904
2024-10,SKU-001-011,PRV-001,321,42,321,56479.95,3729.48,52750.47,18039,1822
2024-10,SKU-001-012,PRV-001,178,18,178,7823.1,505.09,7318.01,4349,418
2024-10,SKU-001-013,PRV-001,135,17,135,23753.25,1452.77,22300.48,5336,430
2024-10,SKU-001-014,PRV-001,413,52,413,21042.35,1142.86,19899.49,23010,2288
2024-10,SKU-001-015,PRV-001,719,73,719,58922.05,3392.15,55529.9,41644,4307
2024-10,SKU-001-017,PRV-001,438,68,438,66992.1,4240.36,62751.74,19024,1861
2024-10,SKU-001-018,PRV-001,74,8,74,10134.3,611.9,9522.4,2107,168
2024-10,SKU-001-019,PRV-001,271,31,271,24918.45,1371.15,23547.3,15171,1830
2024-10,SKU-001-020,PRV-001,435,49,435,16073.25,900.12,15173.13,10952,1207
2024-10,SKU-001-022,PRV-001,90,10,90,11065.5,729.37,10336.13,4869,435
2024-10,SKU-001-024,PRV-001,370,43,370,18481.5,1028.27,17453.23,9316,1236
2024-10,SKU-001-027,PRV-001,84,10,84,11839.8,765.8,11074.0,3342,383
2024-10,SKU-001-028,PRV-001,601,66,601,36630.95,2135.16,34495.79,18586,2156
2024-10,SKU-001-029,PRV-001,101,15,101,4741.95,303.76,4438.19,4949,418
2024-10,SKU-001-031,PRV-001,131,17,131,10080.45,592.48,9487.97,4053,368
2024-10,SKU-001-033,PRV-001,519,60,519,91318.05,5405.71,85912.34,16470,1271
2024-11,SKU-001-001,PRV-001,435,54,435,57833.25,11803.95,46029.3,17148,2097
2024-11,SKU-001-002,PRV-001,208,24,208,10805.6,2430.86,8374.74,7575,691
2024-11,SKU-001-003,PRV-001,291,39,291,10752.45,2310.56,8441.89,12840,1417
2024-11,SKU-001-004,PRV-001,541,48,541,52990.95,12684.65,40306.3,16219,1162
2024-11,SKU-001-005,PRV-001,960,116,960,34512.0,8431.43,26080.57,52929,4048
2024-11,SKU-001-006,PRV-001,370,47,370,12561.5,2755.29,9806.21,9662,767
2024-11,SKU-001-007,PRV-001,244,28,244,20971.8,4499.25,16472.55,11418,1175
2024-11,SKU-001-009,PRV-001,732,83,732,27047.4,6269.67,20777.73,17605,1391
2024-11,SKU-001-010,PRV-001,121,14,121,4833.95,1219.06,3614.89,3407,250
2024-11,SKU-001-011,PRV-001,452,49,452,79529.4,19691.06,59838.34,24304,2535
2024-11,SKU-001-012,PRV-001,257,29,257,11295.15,2380.98,8914.17,14339,1228
2024-11,SKU-001-013,PRV-001,181,19,181,31846.95,6548.66,25298.29,6547,839
2024-11,SKU-001-014,PRV-001,425,59,425,21653.75,5281.43,16372.32,14413,976
2024-11,SKU-001-015,PRV-001,897,85,897,73509.15,15531.18,57977.97,21434,2723
2024-11,SKU-001-017,PRV-001,495,60,495,75710.25,20641.58,55068.67,26078,2687
2024-11,SKU-001-018,PRV-001,124,15,124,16981.8,4403.96,12577.84,5722,585
2024-11,SKU-001-019,PRV-001,324,40,324,29791.8,6325.86,23465.94,13492,1543
2024-11,SKU-001-020,PRV-001,438,49,438,16184.1,4437.7,11746.4,13287,737
2024-11,SKU-001-022,PRV-001,64,8,64,7868.8,1971.98,5896.82,1866,230
2024-11,SKU-001-023,PRV-001,161,19,161,15125.95,3727.07,11398.88,5588,633
2024-11,SKU-001-024,PRV-001,599,79,599,29920.05,6575.16,23344.89,28863,2381
2024-11,SKU-001-027,PRV-001,118,15,118,16632.1,4036.31,12595.79,6634,820
2024-11,SKU-001-028,PRV-001,652,98,652,39739.4,8323.48,31415.92,32816,4373
2024-11,SKU-001-029,PRV-001,105,11,105,4929.75,1312.04,3617.71,3605,438
2024-11,SKU-001-031,PRV-001,159,17,159,12235.05,3272.04,8963.01,6469,435
2024-11,SKU-001-033,PRV-001,893,93,893,157123.35,36046.14,121077.21,43532,4386
2024-12,SKU-001-001,PRV-001,333,25,333,44272.35,2470.32,41802.03,10148,971
2024-12,SKU-001-002,PRV-001,183,20,183,9506.85,548.1,8958.75,6048,783
2024-12,SKU-001-003,PRV-001,188,22,188,6946.6,372.11,6574.49,7340,619
2024-12,SKU-001-004,PRV-001,470,54,470,46036.5,3110.35,42926.15,26763,2081
2024-12,SKU-001-005,PRV-001,533,65,533,19161.35,1036.75,18124.6,21993,2502
2024-12,SKU-001-006,PRV-001,301,38,301,10218.95,523.81,9695.14,10978,952
2024-12,SKU-001-007,PRV-001,165,21,165,14181.75,859.82,13321.93,4224,530
2024-12,SKU-001-009,PRV-001,620,65,620,22909.0,1391.58,21517.42,32830,3655
2024-12,SKU-001-010,PRV-001,192,21,192,7670.4,410.46,7259.94,9889,1238
2024-12,SKU-001-011,PRV-001,350,30,350,61582.5,3591.51,57990.99,17547,2007
2024-12,SKU-001-012,PRV-001,198,23,198,8702.1,550.08,8152.02,5712,510
2024-12,SKU-001-013,PRV-001,140,19,140,24633.0,1270.47,23362.53,7413,444
2024-12,SKU-001-014,PRV-001,404,52,404,20583.8,1251.94,19331.86,18224,1307
2024-12,SKU-001-015,PRV-001,583,65,583,47776.85,3231.93,44544.92,23176,1442
2024-12,SKU-001-017,PRV-001,561,68,561,85804.95,5078.86,80726.09,16491,1634
2024-12,SKU-001-018,PRV-001,88,10,88,12051.6,747.74,11303.86,4369,557
2024-12,SKU-001-019,PRV-001,302,35,302,27768.9,1790.05,25978.85,7286,917
2024-12,SKU-001-020,PRV-001,510,56,510,18844.5,1067.58,17776.92,27121,1844
2024-12,SKU-001-022,PRV-001,88,10,88,10819.6,698.46,10121.14,3942,344
2024-12,SKU-001-023,PRV-001,149,19,149,13998.55,763.23,13235.32,6756,870
2024-12,SKU-001-024,PRV-001,467,54,467,23326.65,1427.83,21898.82,20120,1675
2024-12,SKU-001-027,PRV-001,90,10,90,12685.5,731.41,11954.09,4663,459
2024-12,SKU-001-028,PRV-001,549,54,549,33461.55,1841.21,31620.34,20263,2225
2024-12,SKU-001-029,PRV-001,93,11,93,4366.35,243.63,4122.72,3756,405
2024-12,SKU-001-031,PRV-001,141,14,141,10849.95,622.98,10226.97,4709,349
2024-12,SKU-001-033,PRV-001,731,79,731,128619.45,8212.28,120407.17,39558,2911
2025-01,SKU-001-001,PRV-001,460,46,460,61157.0,12158.94,48998.06,18309,1567
2025-01,SKU-001-002,PRV-001,112,13,112,5818.4,1174.91,4643.49,5324,320
2025-01,SKU-001-003,PRV-001,245,30,245,9052.75,1497.8,7554.95,7739,608
2025-01,SKU-001-004,PRV-001,549,69,549,53774.55,9015.84,44758.71,22434,1937
2025-01,SKU-001-005,PRV-001,750,70,750,26962.5,5040.08,21922.42,26963,3248
2025-01,SKU-001-006,PRV-001,401,43,401,13613.95,2488.97,11124.98,9585,1097
2025-01,SKU-001-007,PRV-001,256,35,256,22003.2,4793.06,17210.14,10020,1276
2025-01,SKU-001-008,PRV-001,321,37,321,15712.95,3183.52,12529.43,13512,1512
2025-01,SKU-001-009,PRV-001,775,91,775,28636.25,4770.54,23865.71,35759,2084
2025-01,SKU-001-010,PRV-001,217,25,217,8669.15,1852.57,6816.58,10629,697
2025-01,SKU-001-011,PRV-001,472,56,472,83048.4,16605.48,66442.92,27114,2538
2025-01,SKU-001-012,PRV-001,279,32,279,12262.05,2438.84,9823.21,10172,723
2025-01,SKU-001-013,PRV-001,186,22,186,32726.7,5527.48,27199.22,4578,314
2025-01,SKU-001-014,PRV-001,461,60,461,23487.95,4793.46,18694.49,12899,1100
2025-01,SKU-001-015,PRV-001,895,74,895,73345.25,13951.99,59393.26,44058,4639
2025-01,SKU-001-017,PRV-001,536,61,536,81981.2,14862.16,67119.04,15347,1773
2025-01,SKU-001-018,PRV-001,137,16,137,18762.15,3794.67,14967.48,4426,586
2025-01,SKU-001-019,PRV-001,352,42,352,32366.4,6107.19,26259.21,9364,1229
2025-01,SKU-001-020,PRV-001,433,48,433,15999.35,3149.66,12849.69,18794,1841
2025-01,SKU-001-022,PRV-001,139,17,139,17090.05,2866.34,14223.71,3622,408
2025-01,SKU-001-023,PRV-001,283,35,283,26587.85,4782.52,21805.33,12836,895
2025-01,SKU-001-024,PRV-001,591,76,591,29520.45,6051.42,23469.03,14448,988
2025-01,SKU-001-027,PRV-001,118,14,118,16632.1,2937.06,13695.04,6540,707
2025-01,SKU-001-028,PRV-001,569,64,569,34680.55,5624.0,29056.55,27047,1865
2025-01,SKU-001-029,PRV-001,152,17,152,7136.4,1243.48,5892.92,3939,327
2025-01,SKU-001-031,PRV-001,165,20,165,12696.75,2763.97,9932.78,7483,796
2025-01,SKU-001-033,PRV-001,773,83,773,136009.35,28339.25,107670.1,40469,3350
2025-02,SKU-001-001,PRV-001,395,36,395,52515.25,3568.03,48947.22,19074,2154
2025-02,SKU-001-002,PRV-001,191,21,191,9922.45,579.29,9343.16,7396,745
2025-02,SKU-001-003,PRV-001,222,24,222,8202.9,545.74,7657.16,12113,1070
2025-02,SKU-001-004,PRV-001,471,53,471,46134.45,3069.67,43064.78,12309,1545
2025-02,SKU-001-005,PRV-001,757,81,757,27214.15,1827.65,25386.5,36136,2991
2025-02,SKU-001-006,PRV-001,352,44,352,11950.4,696.44,11253.96,11098,923
2025-02,SKU-001-007,PRV-001,213,18,213,18307.35,1096.16,17211.19,12035,1395
2025-02,SKU-001-008,PRV-001,354,44,354,17328.3,1148.76,16179.54,14022,1166
2025-02,SKU-001-009,PRV-001,644,73,644,23795.8,1304.59,22491.21,36297,2610
2025-02,SKU-001-010,PRV-001,141,15,141,5632.95,362.54,5270.41,5329,322
2025-02,SKU-001-011,PRV-001,293,26,293,51553.35,3381.74,48171.61,12654,810
2025-02,SKU-001-012,PRV-001,77,8,77,3384.15,192.36,3191.79,1915,229
2025-02,SKU-001-013,PRV-001,127,15,127,22345.65,1163.11,21182.54,4390,477
2025-02,SKU-001-014,PRV-001,376,46,376,19157.2,1300.08,17857.12,17484,2088
2025-02,SKU-001-015,PRV-001,686,93,686,56217.7,2892.48,53325.22,27969,2331
2025-02,SKU-001-017,PRV-001,614,57,614,93911.3,6466.01,87445.29,18778,1855
2025-02,SKU-001-018,PRV-001,98,8,98,13421.1,709.71,12711.39,3912,358
2025-02,SKU-001-019,PRV-001,346,45,346,31814.7,2083.5,29731.2,15862,1053
2025-02,SKU-001-020,PRV-001,456,48,456,16849.2,1014.12,15835.08,14664,1846
2025-02,SKU-001-022,PRV-001,79,13,79,9713.05,503.78,9209.27,4183,367
2025-02,SKU-001-023,PRV-001,267,30,267,25084.65,1672.99,23411.66,13877,1255
2025-02,SKU-001-024,PRV-001,490,56,490,24475.5,1437.3,23038.2,11088,1382
2025-02,SKU-001-027,PRV-001,85,9,85,11980.75,660.96,11319.79,4351,389
2025-02,SKU-001-028,PRV-001,615,68,615,37484.25,2565.43,34918.82,22082,1536
2025-02,SKU-001-029,PRV-001,109,14,109,5117.55,273.0,4844.55,5024,332
2025-02,SKU-001-031,PRV-001,147,17,147,11311.65,696.83,10614.82,3329,333
2025-02,SKU-001-033,PRV-001,363,55,363,63869.85,4298.98,59570.87,19782,1978
2025-03,SKU-001-001,PRV-001,403,39,403,53578.85,2972.51,50606.34,23340,2073
2025-03,SKU-001-002,PRV-001,178,18,178,9247.1,576.73,8670.37,10303,1300
2025-03,SKU-001-003,PRV-001,228,33,228,8424.6,501.84,7922.76,10457,669
2025-03,SKU-001-004,PRV-001,444,45,444,43489.8,2726.69,40763.11,11403,898
2025-03,SKU-001-005,PRV-001,684,72,684,24589.8,1422.47,23167.33,34995,4544
2025-03,SKU-001-006,PRV-001,380,45,380,12901.0,658.98,12242.02,20767,1656
2025-03,SKU-001-007,PRV-001,164,20,164,14095.8,742.35,13353.45,4755,574
2025-03,SKU-001-008,PRV-001,615,60,615,30104.25,1634.63,28469.62,16221,1183
2025-03,SKU-001-009,PRV-001,509,58,509,18807.55,1262.84,17544.71,20861,2037
2025-03,SKU-001-010,PRV-001,152,16,152,6072.4,389.8,5682.6,5016,652
2025-03,SKU-001-011,PRV-001,375,47,375,65981.25,4197.0,61784.25,11382,1213
2025-03,SKU-001-012,PRV-001,207,29,207,9097.65,504.6,8593.05,10161,1144
2025-03,SKU-001-013,PRV-001,147,19,147,25864.65,1359.4,24505.25,6306,581
2025-03,SKU-001-014,PRV-001,371,44,371,18902.45,1021.69,17880.76,13198,1178
2025-03,SKU-001-015,PRV-001,753,83,753,61708.35,3311.81,58396.54,35119,2332
2025-03,SKU-001-017,PRV-001,540,70,540,82593.0,5590.37,77002.63,13487,958
2025-03,SKU-001-018,PRV-001,113,10,113,15475.35,847.65,14627.7,4546,346
2025-03,SKU-001-019,PRV-001,295,35,295,27125.25,1669.36,25455.89,15392,969
2025-03,SKU-001-020,PRV-001,369,42,369,13634.55,757.45,12877.1,12986,1448
2025-03,SKU-001-022,PRV-001,109,11,109,13401.55,764.76,12636.79,3160,354
2025-03,SKU-001-023,PRV-001,329,35,329,30909.55,2004.66,28904.89,13161,1495
2025-03,SKU-001-024,PRV-001,525,47,525,26223.75,1624.84,24598.91,13905,1244
2025-03,SKU-001-027,PRV-001,89,8,89,12544.55,808.86,11735.69,3366,209
2025-03,SKU-001-028,PRV-001,648,72,648,39495.6,2694.42,36801.18,28743,3409
2025-03,SKU-001-029,PRV-001,106,13,106,4976.7,276.18,4700.52,5068,366
2025-03,SKU-001-031,PRV-001,75,9,75,5771.25,300.47,5470.78,3560,260
2025-03,SKU-001-033,PRV-001,549,67,549,96596.55,6363.32,90233.23,28298,2537
2025-04,SKU-001-001,PRV-001,404,49,404,53711.8,2949.5,50762.3,22327,2075
2025-04,SKU-001-002,PRV-001,194,20,194,10078.3,545.69,9532.61,7619,722
2025-04,SKU-001-003,PRV-001,206,21,206,7611.7,433.64,7178.06,8335,585
2025-04,SKU-001-004,PRV-001,540,56,540,52893.0,2709.15,50183.85,27442,2093
2025-04,SKU-001-005,PRV-001,551,51,551,19808.45,1064.03,18744.42,12758,966
2025-04,SKU-001-006,PRV-001,328,40,328,11135.6,572.22,10563.38,11908,1019
2025-04,SKU-001-007,PRV-001,162,19,162,13923.9,872.91,13050.99,4065,516
2025-04,SKU-001-008,PRV-001,685,80,685,33530.75,2280.51,31250.24,39199,5228
2025-04,SKU-001-009,PRV-001,565,69,565,20876.75,1109.04,19767.71,31753,1794
2025-04,SKU-001-010,PRV-001,157,16,157,6272.15,342.41,5929.74,4842,430
2025-04,SKU-001-011,PRV-001,414,45,414,72843.3,4673.79,68169.51,11997,1196
2025-04,SKU-001-012,PRV-001,218,32,218,9581.1,495.01,9086.09,9464,1231
2025-04,SKU-001-013,PRV-001,148,13,148,26040.6,1468.78,24571.82,4311,326
2025-04,SKU-001-014,PRV-001,485,56,485,24710.75,1621.85,23088.9,23946,2546
2025-04,SKU-001-015,PRV-001,720,87,720,59004.0,3315.8,55688.2,23922,3112
2025-04,SKU-001-017,PRV-001,539,61,539,82440.05,4372.48,78067.57,13380,957
2025-04,SKU-001-018,PRV-001,112,13,112,15338.4,806.21,14532.19,2735,270
2025-04,SKU-001-019,PRV-001,248,25,248,22803.6,1400.24,21403.36,8840,834
2025-04,SKU-001-020,PRV-001,449,43,449,16590.55,896.02,15694.53,25117,1629
2025-04,SKU-001-022,PRV-001,94,11,94,11557.3,771.94,10785.36,4856,410
2025-04,SKU-001-023,PRV-001,339,39,339,31849.05,1884.31,29964.74,17742,1347
2025-04,SKU-001-024,PRV-001,368,39,368,18381.6,1156.1,17225.5,17059,996
2025-04,SKU-001-027,PRV-001,81,8,81,11416.95,596.39,10820.56,3680,222
2025-04,SKU-001-028,PRV-001,645,48,645,39312.75,2031.97,37280.78,23452,1640
2025-04,SKU-001-029,PRV-001,103,13,103,4835.85,314.92,4520.93,4733,579
2025-04,SKU-001-031,PRV-001,149,17,149,11465.55,636.5,10829.05,6729,590
2025-04,SKU-001-033,PRV-001,568,55,568,99939.6,6841.77,93097.83,21454,2229
2025-05,SKU-001-001,PRV-001,330,34,330,43873.5,2667.87,41205.63,18095,1312
2025-05,SKU-001-002,PRV-001,174,17,174,9039.3,534.95,8504.35,3918,521
2025-05,SKU-001-003,PRV-001,208,21,208,7685.6,396.18,7289.42,7507,548
2025-05,SKU-001-004,PRV-001,586,58,586,57398.7,3819.37,53579.33,28677,1763
2025-05,SKU-001-005,PRV-001,568,63,568,20419.6,1138.9,19280.7,18074,2047
2025-05,SKU-001-006,PRV-001,392,48,392,13308.4,689.61,12618.79,11904,1496
2025-05,SKU-001-007,PRV-001,150,16,150,12892.5,724.88,12167.62,4047,530
