event_id,event_date,shift,machine_id,plant_id,reason_code,duration_min
EV-014655,2026-06-03,A,PRESS-01,BRM,BRK-TOOL,37.5
EV-014656,2026-06-03,A,PRESS-01,BRM,QA-CHECK,11.6
EV-014657,2026-06-03,A,PRESS-01,BRM,BRK-HYD,31.4
EV-014658,2026-06-03,A,PRESS-01,BRM,NO-OP,46.0
EV-014659,2026-06-03,A,PRESS-01,BRM,BLOCK,25.8
EV-014660,2026-06-03,A,PRESS-01,BRM,JAM,2.1
EV-014661,2026-06-03,A,PRESS-01,BRM,SENSOR,1.9
EV-014662,2026-06-03,A,PRESS-02,BRM,BRK-TOOL,49.6
EV-014663,2026-06-03,A,PRESS-02,BRM,ADJ-TOOL,20.2
EV-014664,2026-06-03,A,PRESS-02,BRM,BRK-TOOL,42.0
EV-014665,2026-06-03,A,PRESS-02,BRM,ADJ-TOOL,34.5
EV-014666,2026-06-03,A,PRESS-02,BRM,BRK-TOOL,49.7
EV-014667,2026-06-03,A,PRESS-02,BRM,BRK-TOOL,15.5
EV-014668,2026-06-03,A,PRESS-03,BRM,QA-CHECK,11.7
EV-014669,2026-06-03,A,PRESS-03,BRM,BRK-MECH,30.6
EV-014670,2026-06-03,A,PRESS-03,BRM,NO-OP,45.6
EV-014671,2026-06-03,A,WELD-01,BRM,BRK-HYD,41.5
EV-014672,2026-06-03,A,WELD-01,BRM,NO-OP,15.5
EV-014673,2026-06-03,A,WELD-01,BRM,CHIP-CLR,1.7
EV-014674,2026-06-03,A,WELD-01,BRM,MINOR-ADJ,3.5
EV-014675,2026-06-03,A,WELD-01,BRM,CHIP-CLR,1.8
EV-014676,2026-06-03,A,WELD-01,BRM,MISFEED,2.0
EV-014677,2026-06-03,A,WELD-01,BRM,SENSOR,0.9
EV-014678,2026-06-03,A,WELD-01,BRM,JAM,1.5
EV-014679,2026-06-03,A,WELD-01,BRM,MINOR-ADJ,4.3
EV-014680,2026-06-03,A,WELD-01,BRM,MINOR-ADJ,2.4
EV-014681,2026-06-03,A,WELD-01,BRM,MINOR-ADJ,3.4
EV-014682,2026-06-03,A,WELD-01,BRM,MISFEED,2.6
EV-014683,2026-06-03,A,WELD-01,BRM,MISFEED,4.1
EV-014684,2026-06-03,A,WELD-01,BRM,SENSOR,2.7
EV-014685,2026-06-03,A,WELD-01,BRM,MINOR-ADJ,1.1
EV-014686,2026-06-03,A,WELD-01,BRM,SENSOR,1.7
EV-014687,2026-06-03,A,WELD-01,BRM,CHIP-CLR,2.4
EV-014688,2026-06-03,A,WELD-01,BRM,SENSOR,3.8
EV-014689,2026-06-03,A,WELD-01,BRM,SENSOR,2.5
EV-014690,2026-06-03,A,WELD-01,BRM,CHIP-CLR,2.6
EV-014691,2026-06-03,A,WELD-01,BRM,MINOR-ADJ,1.3
EV-014692,2026-06-03,A,WELD-01,BRM,MISFEED,1.3
EV-014693,2026-06-03,A,WELD-02,BRM,BRK-TOOL,67.0
EV-014694,2026-06-03,A,WELD-02,BRM,MINOR-ADJ,1.8
EV-014695,2026-06-03,B,PRESS-01,BRM,CHG-OVER,51.6
EV-014696,2026-06-03,B,PRESS-01,BRM,BRK-ELEC,17.3
EV-014697,2026-06-03,B,PRESS-01,BRM,BRK-TOOL,40.7
EV-014698,2026-06-03,B,PRESS-02,BRM,CHG-OVER,101.6
EV-014699,2026-06-03,B,PRESS-02,BRM,CHG-OVER,105.5
EV-014700,2026-06-03,B,PRESS-02,BRM,CHG-OVER,72.9
EV-014701,2026-06-03,B,PRESS-02,BRM,CHG-OVER,92.1
EV-014702,2026-06-03,B,PRESS-02,BRM,ADJ-TOOL,6.7
EV-014703,2026-06-03,B,PRESS-03,BRM,CHG-OVER,40.9
EV-014704,2026-06-03,B,PRESS-03,BRM,NO-OP,23.0
EV-014705,2026-06-03,B,PRESS-03,BRM,BRK-MECH,21.4
EV-014706,2026-06-03,B,PRESS-03,BRM,BLOCK,15.5
EV-014707,2026-06-03,B,PRESS-03,BRM,BLOCK,20.7
EV-014708,2026-06-03,B,WELD-01,BRM,BRK-ELEC,53.3
EV-014709,2026-06-03,B,WELD-01,BRM,SENSOR,4.0
EV-014710,2026-06-03,B,WELD-01,BRM,MINOR-ADJ,2.2
EV-014711,2026-06-03,B,WELD-01,BRM,MINOR-ADJ,1.2
EV-014712,2026-06-03,B,WELD-01,BRM,MISFEED,3.5
EV-014713,2026-06-03,B,WELD-01,BRM,SENSOR,0.9
EV-014714,2026-06-03,B,WELD-01,BRM,SENSOR,0.8
EV-014715,2026-06-03,B,WELD-01,BRM,SENSOR,0.9
EV-014716,2026-06-03,B,WELD-01,BRM,JAM,2.9
EV-014717,2026-06-03,B,WELD-01,BRM,MINOR-ADJ,0.8
EV-014718,2026-06-03,B,WELD-01,BRM,MISFEED,3.4
EV-014719,2026-06-03,B,WELD-01,BRM,JAM,1.0
EV-014720,2026-06-03,B,WELD-01,BRM,SENSOR,1.9
EV-014721,2026-06-03,B,WELD-01,BRM,SENSOR,3.2
EV-014722,2026-06-03,B,WELD-01,BRM,CHIP-CLR,0.5
EV-014723,2026-06-03,B,WELD-01,BRM,MISFEED,3.2
EV-014724,2026-06-03,B,WELD-01,BRM,CHIP-CLR,3.2
EV-014725,2026-06-03,B,WELD-01,BRM,MINOR-ADJ,1.0
EV-014726,2026-06-03,B,WELD-01,BRM,JAM,3.7
EV-014727,2026-06-03,B,WELD-01,BRM,MISFEED,1.7
EV-014728,2026-06-03,B,WELD-01,BRM,JAM,3.6
EV-014729,2026-06-03,B,WELD-01,BRM,MINOR-ADJ,1.5
EV-014730,2026-06-03,B,WELD-02,BRM,CLEAN,20.9
EV-014731,2026-06-03,B,WELD-02,BRM,BRK-MECH,24.9
EV-014732,2026-06-03,B,WELD-02,BRM,BLOCK,15.5
EV-014733,2026-06-03,B,WELD-02,BRM,JAM,1.2
EV-014734,2026-06-03,B,WELD-02,BRM,MISFEED,1.1
EV-014735,2026-06-03,C,PRESS-01,BRM,CHG-OVER,59.4
EV-014736,2026-06-03,C,PRESS-01,BRM,NO-OP,146.0
EV-014737,2026-06-03,C,PRESS-01,BRM,MINOR-ADJ,1.7
EV-014738,2026-06-03,C,PRESS-01,BRM,CHIP-CLR,4.4
EV-014739,2026-06-03,C,PRESS-02,BRM,CHG-OVER,87.1
EV-014740,2026-06-03,C,PRESS-02,BRM,CHG-OVER,74.4
EV-014741,2026-06-03,C,PRESS-02,BRM,QA-CHECK,15.6
EV-014742,2026-06-03,C,PRESS-02,BRM,ADJ-TOOL,61.6
EV-014743,2026-06-03,C,PRESS-02,BRM,ADJ-TOOL,57.3
EV-014744,2026-06-03,C,PRESS-03,BRM,ADJ-TOOL,15.8
EV-014745,2026-06-03,C,PRESS-03,BRM,NO-OP,108.7
EV-014746,2026-06-03,C,WELD-01,BRM,BRK-HYD,79.5
EV-014747,2026-06-03,C,WELD-01,BRM,ADJ-TOOL,16.4
EV-014748,2026-06-03,C,WELD-01,BRM,JAM,0.6
EV-014749,2026-06-03,C,WELD-01,BRM,MISFEED,1.5
EV-014750,2026-06-03,C,WELD-01,BRM,MISFEED,3.6
EV-014751,2026-06-03,C,WELD-01,BRM,CHIP-CLR,2.7
EV-014752,2026-06-03,C,WELD-01,BRM,CHIP-CLR,3.0
EV-014753,2026-06-03,C,WELD-01,BRM,MISFEED,4.1
EV-014754,2026-06-03,C,WELD-01,BRM,SENSOR,2.6
EV-014755,2026-06-03,C,WELD-01,BRM,MISFEED,3.2
EV-014756,2026-06-03,C,WELD-01,BRM,SENSOR,1.4
EV-014757,2026-06-03,C,WELD-01,BRM,SENSOR,2.9
EV-014758,2026-06-03,C,WELD-01,BRM,MISFEED,0.5
