iso_week,machine_id,plant_id,defect_code,units
2026-W10,ASSY-01,VLD,ASSY-MISS,59
2026-W10,ASSY-01,VLD,DIM-OOT,45
2026-W10,ASSY-01,VLD,SU-SETUP,22
2026-W10,ASSY-01,VLD,SU-WARM,21
2026-W10,ASSY-02,VLD,ASSY-MISS,62
2026-W10,ASSY-02,VLD,DIM-OOT,51
2026-W10,ASSY-02,VLD,SU-SETUP,21
2026-W10,ASSY-02,VLD,SU-WARM,17
2026-W10,CNC-01,STW,BURR,2
2026-W10,CNC-01,STW,DIM-OOT,22
2026-W10,CNC-01,STW,SU-SETUP,2
2026-W10,CNC-01,STW,SU-WARM,3
2026-W10,CNC-01,STW,SURF,18
2026-W10,CNC-02,STW,BURR,4
2026-W10,CNC-02,STW,DIM-OOT,32
2026-W10,CNC-02,STW,SU-SETUP,3
2026-W10,CNC-02,STW,SU-WARM,3
2026-W10,CNC-02,STW,SURF,27
2026-W10,CNC-03,STW,BURR,1
2026-W10,CNC-03,STW,DIM-OOT,15
2026-W10,CNC-03,STW,SURF,10
2026-W10,CNC-04,STW,BURR,1
2026-W10,CNC-04,STW,DIM-OOT,22
2026-W10,CNC-04,STW,SU-SETUP,1
2026-W10,CNC-04,STW,SURF,20
2026-W10,GRIND-01,STW,DIM-OOT,23
2026-W10,GRIND-01,STW,SU-SETUP,2
2026-W10,GRIND-01,STW,SU-WARM,3
2026-W10,GRIND-01,STW,SURF,27
2026-W10,LEAK-01,VLD,LEAK-FAIL,204
2026-W10,LEAK-01,VLD,SU-SETUP,2
2026-W10,LEAK-01,VLD,SU-WARM,4
2026-W10,PACK-01,VLD,ASSY-MISS,75
2026-W10,PACK-01,VLD,SU-SETUP,741
2026-W10,PACK-01,VLD,SU-WARM,861
2026-W10,PACK-01,VLD,SURF,62
2026-W10,PRESS-01,BRM,BURR,555
2026-W10,PRESS-01,BRM,DIM-OOT,644
2026-W10,PRESS-01,BRM,SU-SETUP,92
2026-W10,PRESS-01,BRM,SU-WARM,64
2026-W10,PRESS-01,BRM,SURF,65
2026-W10,PRESS-02,BRM,BURR,365
2026-W10,PRESS-02,BRM,DIM-OOT,462
2026-W10,PRESS-02,BRM,SU-SETUP,267
2026-W10,PRESS-02,BRM,SU-WARM,267
2026-W10,PRESS-02,BRM,SURF,38
2026-W10,PRESS-03,BRM,BURR,716
2026-W10,PRESS-03,BRM,DIM-OOT,996
2026-W10,PRESS-03,BRM,SU-SETUP,195
2026-W10,PRESS-03,BRM,SU-WARM,220
2026-W10,PRESS-03,BRM,SURF,79
2026-W10,WELD-01,BRM,DIM-OOT,134
2026-W10,WELD-01,BRM,SU-SETUP,18
2026-W10,WELD-01,BRM,SU-WARM,17
2026-W10,WELD-01,BRM,WELD-POR,153
2026-W10,WELD-02,BRM,DIM-OOT,80
2026-W10,WELD-02,BRM,SU-SETUP,17
2026-W10,WELD-02,BRM,SU-WARM,17
2026-W10,WELD-02,BRM,WELD-POR,90
2026-W11,ASSY-01,VLD,ASSY-MISS,53
2026-W11,ASSY-01,VLD,DIM-OOT,41
2026-W11,ASSY-01,VLD,SU-SETUP,12
2026-W11,ASSY-01,VLD,SU-WARM,9
2026-W11,ASSY-02,VLD,ASSY-MISS,54
2026-W11,ASSY-02,VLD,DIM-OOT,44
2026-W11,ASSY-02,VLD,SU-SETUP,12
