shift_date,shift,machine_id,plant_id,planned_production_time_min,stop_time_min,run_time_min,changeover_min_excluded_from_planned,ideal_cycle_time_sec,total_count,good_count,scheduled_units
2026-03-02,A,PRESS-01,BRM,480.0,143.8,336.2,0.0,4.2,4430,4350,4402
2026-03-02,A,PRESS-02,BRM,480.0,189.0,291.0,0.0,3.1,5308,5192,5272
2026-03-02,A,PRESS-03,BRM,480.0,88.9,391.1,0.0,2.4,9583,9405,9040
2026-03-02,A,WELD-01,BRM,480.0,47.5,432.5,0.0,18.5,1215,1191,1151
2026-03-02,A,WELD-02,BRM,480.0,48.9,431.1,0.0,18.5,1332,1310,1261
2026-03-02,B,PRESS-01,BRM,480.0,155.6,324.4,0.0,4.2,4378,4276,4336
2026-03-02,B,PRESS-02,BRM,480.0,244.1,235.9,0.0,3.1,4428,4347,4251
2026-03-02,B,PRESS-03,BRM,480.0,103.9,376.1,0.0,2.4,9235,9070,8904
2026-03-02,B,WELD-01,BRM,480.0,73.3,406.7,0.0,18.5,1165,1141,1085
2026-03-02,B,WELD-02,BRM,480.0,92.5,387.5,0.0,18.5,1224,1210,1164
2026-03-02,C,PRESS-01,BRM,480.0,226.2,253.8,0.0,4.2,3433,3373,3381
2026-03-02,C,PRESS-02,BRM,480.0,297.2,182.8,0.0,3.1,3398,3281,3142
2026-03-02,C,PRESS-03,BRM,480.0,156.8,323.2,0.0,2.4,7577,7439,7214
2026-03-02,C,WELD-01,BRM,480.0,62.6,417.4,0.0,18.5,1112,1085,1105
2026-03-02,C,WELD-02,BRM,480.0,83.9,396.1,0.0,18.5,1231,1222,1207
2026-03-02,A,CNC-01,STW,480.0,89.9,390.1,0.0,52.0,444,443,321
2026-03-02,A,CNC-02,STW,480.0,91.1,388.9,0.0,52.0,441,434,436
2026-03-02,A,CNC-03,STW,480.0,221.1,258.9,0.0,48.0,315,312,325
2026-03-02,A,CNC-04,STW,480.0,75.1,404.9,0.0,48.0,506,506,490
2026-03-02,A,GRIND-01,STW,480.0,125.1,354.9,0.0,76.0,273,268,249
2026-03-02,B,CNC-01,STW,480.0,106.6,373.4,0.0,52.0,410,407,294
2026-03-02,B,CNC-02,STW,480.0,95.5,384.5,0.0,52.0,427,422,411
2026-03-02,B,CNC-03,STW,480.0,322.2,157.8,0.0,48.0,193,191,187
2026-03-02,B,CNC-04,STW,480.0,90.8,389.2,0.0,48.0,461,460,462
2026-03-02,B,GRIND-01,STW,480.0,89.0,391.0,0.0,76.0,301,297,275
2026-03-02,C,CNC-01,STW,480.0,78.8,401.2,0.0,52.0,445,441,321
2026-03-02,C,CNC-02,STW,480.0,108.3,371.7,0.0,52.0,412,409,413
2026-03-02,C,CNC-03,STW,480.0,347.4,132.6,0.0,48.0,158,156,157
2026-03-02,C,CNC-04,STW,480.0,102.9,377.1,0.0,48.0,447,444,413
2026-03-02,C,GRIND-01,STW,480.0,114.0,366.0,0.0,76.0,278,275,262
2026-03-02,A,ASSY-01,VLD,446.7,51.4,395.2,33.3,31.0,740,721,733
2026-03-02,A,ASSY-02,VLD,480.0,135.6,344.4,0.0,31.0,627,616,614
2026-03-02,A,LEAK-01,VLD,480.0,97.6,382.4,0.0,22.0,1023,995,1017
2026-03-02,A,PACK-01,VLD,459.3,96.4,362.9,20.7,9.5,2183,1975,1993
2026-03-02,B,ASSY-01,VLD,435.8,77.1,358.7,44.2,31.0,655,638,619
2026-03-02,B,ASSY-02,VLD,398.6,44.1,354.5,81.4,31.0,651,627,609
2026-03-02,B,LEAK-01,VLD,480.0,101.8,378.2,0.0,22.0,984,964,930
2026-03-02,B,PACK-01,VLD,440.5,48.5,392.0,39.5,9.5,2410,2206,2339
2026-03-03,A,PRESS-01,BRM,480.0,176.1,303.9,0.0,4.2,4098,4011,3981
2026-03-03,A,PRESS-02,BRM,480.0,287.8,192.2,0.0,3.1,3583,3496,3332
2026-03-03,A,PRESS-03,BRM,480.0,79.2,400.8,0.0,2.4,9756,9670,9253
2026-03-03,A,WELD-01,BRM,480.0,46.5,433.5,0.0,18.5,1193,1171,1107
2026-03-03,A,WELD-02,BRM,480.0,70.5,409.5,0.0,18.5,1307,1294,1259
2026-03-03,B,PRESS-01,BRM,480.0,112.2,367.8,0.0,4.2,4952,4886,4598
2026-03-03,B,PRESS-02,BRM,480.0,213.3,266.7,0.0,3.1,4990,4890,4947
2026-03-03,B,PRESS-03,BRM,480.0,90.4,389.6,0.0,2.4,9415,9288,9079
2026-03-03,B,WELD-01,BRM,480.0,47.3,432.7,0.0,18.5,1245,1225,1162
2026-03-03,B,WELD-02,BRM,480.0,69.9,410.1,0.0,18.5,1260,1246,1265
2026-03-03,C,PRESS-01,BRM,480.0,221.5,258.5,0.0,4.2,3427,3353,3271
2026-03-03,C,PRESS-02,BRM,480.0,329.6,150.4,0.0,3.1,2792,2754,2601
2026-03-03,C,PRESS-03,BRM,480.0,110.2,369.8,0.0,2.4,8655,8561,8387
2026-03-03,C,WELD-01,BRM,480.0,51.0,429.0,0.0,18.5,1201,1180,1131
2026-03-03,C,WELD-02,BRM,480.0,93.5,386.5,0.0,18.5,1172,1158,1165
2026-03-03,A,CNC-01,STW,480.0,85.9,394.1,0.0,52.0,439,434,309
2026-03-03,A,CNC-02,STW,480.0,72.5,407.5,0.0,52.0,455,446,443
2026-03-03,A,CNC-03,STW,480.0,220.6,259.4,0.0,48.0,323,321,324
2026-03-03,A,CNC-04,STW,480.0,103.2,376.8,0.0,48.0,463,462,452
2026-03-03,A,GRIND-01,STW,480.0,149.3,330.7,0.0,76.0,254,251,242
2026-03-03,B,CNC-01,STW,480.0,108.2,371.8,0.0,52.0,418,412,293
2026-03-03,B,CNC-02,STW,480.0,79.8,400.2,0.0,52.0,449,443,412
2026-03-03,B,CNC-03,STW,480.0,460.0,20.0,0.0,48.0,23,23,22
2026-03-03,B,CNC-04,STW,480.0,64.2,415.8,0.0,48.0,508,508,490
2026-03-03,B,GRIND-01,STW,480.0,131.1,348.9,0.0,76.0,267,264,264
2026-03-03,C,CNC-01,STW,480.0,68.0,412.0,0.0,52.0,453,452,312
2026-03-03,C,CNC-02,STW,480.0,115.1,364.9,0.0,52.0,399,395,376
2026-03-03,C,CNC-03,STW,480.0,339.9,140.1,0.0,48.0,171,170,168
2026-03-03,C,CNC-04,STW,480.0,101.7,378.3,0.0,48.0,461,459,457
2026-03-03,C,GRIND-01,STW,480.0,170.3,309.7,0.0,76.0,235,234,226
2026-03-03,A,ASSY-01,VLD,445.9,66.6,379.3,34.1,31.0,687,668,681
2026-03-03,A,ASSY-02,VLD,446.6,51.1,395.5,33.4,31.0,714,704,710
2026-03-03,A,LEAK-01,VLD,480.0,96.7,383.3,0.0,22.0,1009,995,950
2026-03-03,A,PACK-01,VLD,438.1,74.2,363.9,41.9,9.5,2208,2001,2119
2026-03-03,B,ASSY-01,VLD,480.0,70.1,409.9,0.0,31.0,765,754,758
2026-03-03,B,ASSY-02,VLD,414.6,31.6,383.0,65.4,31.0,712,695,674
2026-03-03,B,LEAK-01,VLD,480.0,85.5,394.5,0.0,22.0,1044,1027,985
2026-03-03,B,PACK-01,VLD,438.7,38.3,400.4,41.3,9.5,2475,2265,2445
2026-03-04,A,PRESS-01,BRM,480.0,151.5,328.5,0.0,4.2,4455,4370,4371
2026-03-04,A,PRESS-02,BRM,480.0,241.8,238.2,0.0,3.1,4456,4347,4384
2026-03-04,A,PRESS-03,BRM,480.0,110.1,369.9,0.0,2.4,9106,9013,8733
2026-03-04,A,WELD-01,BRM,480.0,42.8,437.2,0.0,18.5,1127,1105,1100
2026-03-04,A,WELD-02,BRM,480.0,112.3,367.7,0.0,18.5,1184,1177,1179
2026-03-04,B,PRESS-01,BRM,480.0,133.7,346.3,0.0,4.2,4856,4753,4492
2026-03-04,B,PRESS-02,BRM,480.0,224.9,255.1,0.0,3.1,4531,4425,4285
2026-03-04,B,PRESS-03,BRM,480.0,161.8,318.2,0.0,2.4,7630,7488,7493
2026-03-04,B,WELD-01,BRM,480.0,56.5,423.5,0.0,18.5,1125,1109,1048
2026-03-04,B,WELD-02,BRM,480.0,58.5,421.5,0.0,18.5,1328,1324,1227
2026-03-04,C,PRESS-01,BRM,480.0,157.8,322.2,0.0,4.2,4311,4210,3968
2026-03-04,C,PRESS-02,BRM,480.0,361.4,118.6,0.0,3.1,2142,2099,2131
2026-03-04,C,PRESS-03,BRM,480.0,104.4,375.6,0.0,2.4,9137,9037,8970
2026-03-04,C,WELD-01,BRM,480.0,76.9,403.1,0.0,18.5,1173,1148,1118
2026-03-04,C,WELD-02,BRM,480.0,115.5,364.5,0.0,18.5,1131,1118,1069
2026-03-04,A,CNC-01,STW,480.0,73.0,407.0,0.0,52.0,469,468,336
2026-03-04,A,CNC-02,STW,480.0,107.8,372.2,0.0,52.0,421,418,403
2026-03-04,A,CNC-03,STW,480.0,316.0,164.0,0.0,48.0,201,200,208
2026-03-04,A,CNC-04,STW,480.0,70.9,409.1,0.0,48.0,490,485,478
2026-03-04,A,GRIND-01,STW,480.0,85.7,394.3,0.0,76.0,305,302,287
2026-03-04,B,CNC-01,STW,480.0,114.6,365.4,0.0,52.0,408,404,291
2026-03-04,B,CNC-02,STW,480.0,87.9,392.1,0.0,52.0,452,449,449
2026-03-04,B,CNC-03,STW,480.0,292.1,187.9,0.0,48.0,231,230,233
2026-03-04,B,CNC-04,STW,480.0,100.3,379.7,0.0,48.0,469,466,432
2026-03-04,B,GRIND-01,STW,480.0,110.3,369.7,0.0,76.0,283,280,281
2026-03-04,C,CNC-01,STW,480.0,70.7,409.3,0.0,52.0,448,444,321
2026-03-04,C,CNC-02,STW,480.0,108.6,371.4,0.0,52.0,408,405,382
